평점,댓글
2,"외이도염 때문에 귀가 너무 아파서 갔습니다. 진료시간이 늦은 저녁까지 있는 곳은 근처에 여기 뿐이라 ㅜㅜ 그런데 의사선생님이 설명도 잘 안해주시고, 심한 외이도염이라고 하셨는데 약 처방도 따로  안해주셔서 의아했습니다.. 다른 곳에선 귀에 넣는 약 처방을 받았는데 여기서 필요없다고 판단하신거면 환자에게 그에 맞는 이해를 시켜주는 게 맞다고 봅니다..  왼쪽..."
5,예방접종 맞으러갔는데 안아프게 잘 놔주셨어요! 완전짱 !! 
5,주말에도 전문의 진료해서 좋아요
5,여기 간호사 언니들 주사 진짜 대박 잘놓음 ㅎㅎ 어디가면 맨날 멍들고 터지고... 아.... 나의 백옥같은 피부 얼룩지는데... 여기짱.. 글구 대표원장님이 설명을 너무 잘해주셔서 이해가 잘됨요~ 뷀굿
5,"요즘 목아파도 목도안보는 곳이 많은데 ,음압실이라고 따로 진료실도 있고 코로나 검사까지 다 되고 좋았습니다."
5,위치바뀌곤 처음갔는데. 여원장님 설명 쏙쏙 잘해주세요~ 주말인데도 친절하시고 자세히 말씀해주셔서 좋았어요
5,"후기보고 좀 망설였는데.. 여원장님 생각보다 친절하고 꼼꼼하게 봐주셨어요.  시국이 시국인지라 목이 부어서 너무 걱정되더라구요ㅠㅠ 다행이 감기 증상이었고, 기전이나 관리 방법도 알려주셔서 전 만족했습니다 !!"
5,여기 간호사 언니들 주사 진짜 대박 잘놓음 ㅎㅎ 어디가면 맨날 멍들고 터지고... 아.... 나의 백옥같은 피부 얼룩지는데... 여기짱.. 글구 대표원장님이 설명을 너무 잘해주셔서 이해가 잘됨요~ 뷀굿
5,"요즘 목아파도 목도안보는 곳이 많은데 ,음압실이라고 따로 진료실도 있고 코로나 검사까지 다 되고 좋았습니다."
5,위치바뀌곤 처음갔는데. 여원장님 설명 쏙쏙 잘해주세요~ 주말인데도 친절하시고 자세히 말씀해주셔서 좋았어요
5,"후기보고 좀 망설였는데.. 여원장님 생각보다 친절하고 꼼꼼하게 봐주셨어요.  시국이 시국인지라 목이 부어서 너무 걱정되더라구요ㅠㅠ 다행이 감기 증상이었고, 기전이나 관리 방법도 알려주셔서 전 만족했습니다 !!"
5,너무 친절했어요.감기때문에 며칠간 목이아팠는데...2틀만에 좋아졌어요. 아프지않으면 오지말래서^^ 다음에 아프게된다면 다시갈께요~~~^^
1,기침 비염 몸살 내원전날저녁 열. 진료당일엔 열내리고 몸살과 기침만 있었으나 몸살이 심했고 저녁에 열나는거 무서워서 계속 말함. 증상 심하지 않다. 근데 수액맞으라고 수액맞으면 몸살 좋아진다고. 목이랑 코 기본 소독치료(?) 없음. 분명저녁에 열오른다고 말햇는데 해열제 없음 목도 생각보다 안부었다며 기다치료 및 항상제 없음. 나아진건 없이 계속 몸살찌부등등...
1,참다가 세상 화나서 글올림. 여의사 세상 불만 있음?? 들어가도 쳐다보지도 않고 ㅋㅋ 물어보는 말에 대꾸도 안하고. 찾아보니 이비인후과 전문의도 아니네 ㅎㅎ 
5,선릉근처에서 여기가 제일 친절하고 진료잘함; 다른 내과같은곳 가면 약먹어도 안나아요.
1,불친절. 의사가 반말 
5,친절한 의사님 매우 좋네요
1,불친절
5,몇달만에 코감기에 걸러 진찰해주시고 친절하시던 전여의사분이 생각이 나서 들렸더니 잠깐쉬고 계신다는 말을 듣고 아쉬웠지만 새로 오신 내과 이비인후과 같이 보시는 여의사분의 꼼꼼하게 체크하며 친절하게 잘설명해주시니 편안한 마음에 잘받고 나왔습니다. 고마웠습니다. 수고하세요
4,여의사분은 친절하세요!
1,이전에 휴일에 찾아갔을 때 친절하고 정확하게 진료해주셔서 믿고 찾아간 건데 배신감 드네요. 저녁 때 너무 아파서 찾아갔는데 한참을 기다려서 진료실 들어갔더니 젊은 의사(?? - 병원 나올 때 이름이나 알아두자고 벽에 붙은 거 봤는데 약력에 전문의/전공의/수련의 등등 아니고 의학과 라고만 써 있는 건 난생 처음 보네요.) 완전 대놓고 반말 진료에... 증상 ...
5,일단 친절합니다...  진료 꼼꼼하게 봐 주시고요..  댓글이 호불호가 갈리는데 저같은 경우는 만족하는편입니다..
1,"천원장, 콧물 뒤로 넘어가고 역류증상에 목부위가 답답하고 두통때문에 잠을 설친다니까 초음파 5분보고 정신과 가라네요. 의뢰서라도 받을 걸 그랬습니다."
1,천원장은 뭐 초음파를 1분내에 끝내요.. 너무 건성건성
1,의사는 대충진료 간호사들은 하나같이 불친절..여기는 관련 카페를 가나 어딜가나 댓글 다는곳은 알바들이 판을 치네.. 알바글도 간호사들이 작성하는거겠지. 
1,이비인후과지만 귀 진료를 안봅니다.. 병원명 개명좀요 ㅠ 아까운 시간만 날리네요..
5,직원분들이 친절해서 좋았어요!꼼꼼히 진료도 해주셔서 만족했어요!!
5,친절하셔요 ~~ 꼼꼼
5,"간호사분들, 원장님까지 너무 친절하셨음  보호자 입장으로 걱정 많이 됐지만 원장님께서 잘 설명해주심"
5,이하선 종양(침샘종양) 판정을 받았습니다 지방에 사는데 모 대학병원이 못미더워서 서울 큰 대형병원들 알아보던중 수술이 너무 밀려있어서 정보를 찾아보던중 여자친구가 계속 검색하더니 땡큐이비인후과라고 강남에 있으니 가보라고 해서 가봤습니다 빠르게 초음파 검사 진행하고 그 다음주로 수술날짜를 바로 잡고 25일 12시쯤 수술 진행(50여분)후 다음날 오전 10시에...
5,이하선종양 수술로 입원했어요. 대학병원 가려다  여러 후기들과 원장선생님의 유튜브 설명등을 보고 이곳으로 결정. 쾌적한병실과 친절하신 간호사분들ㅠㅠ도 너무 좋았고 무엇보다 수술 후 컨디션이 너무 좋아요.  생각했던 것보다 안아프고 링거도 빨리빼고 바로 다음날 퇴원 할 수 있어서 좋습니다. 그냥 무작정 퇴원하는게 아니라 상태가 좋은 상태에서 퇴원하니 이곳을 ...
4,"대학병원 예약이 너무 미뤄져서, 이 병원에 가게 됐습니다. 초음파랑 혈액검사 했고 약 14만원 나왔습니다. 진료시간은 짧았어요. 대학병원보다 빠르게 진료 가능한 점이 최고 장점인 것 같아요. "
5,원장님이 수술 잘하신다고 하셔서 지방에서 올라와서 수술했는데 결과도 좋고  원장님뿐만 아니라 간호사님들도 친절하고 좋았습니다
3,갑상선 두경부 목 특화병원입니다. 귀나 코는 진료를보지않아요
5,수술 전 준비나 수술 후 이런저런 사항 꼼꼼히 챙겨주셔서 좋았습니다:) 하루 입원하며 담당 간호사분들도 정말 친절하셨어요!
5,항상 방문할때 마다 친절하게 설명 해주시고 빠른 진료와 수술 이후에도 세심하게 신경 써주셔서 감사합니다. 첫 편도수술 이였는데 역시 땡큐서울이비인후과의원 믿고 마음편히 잘 받고 현재 좋은 상태로 회복중에 있습니다. 감사합니다.
5,환자와 보호자에게도 세심한 설명과 함께 빠른 진료와 수술차후라도 이상시 꼭 진료 받고 싶은 병원입니다
5,친절한 상담과 수술이후 꼼꼼한 확인과 설명등 정성과배려에 맘이 놓이고 심리적안정이 들어 든든하네요
5,"원장, 간호사 선생님의 친절한 내용과 상담과 쾌적한 병원 시설 환경에 최고수준이네요"
5,침샘에 혹을 발견하고 많은 고민끝에 하원장님께 수술받았습니다. 빠른진료와 수술스케쥴을 잡아주셔서 마음편히 진행할 수 있었습니다. 간호사 선생님들도 너무 친절하시고 편하게 있을수 있어서 더 좋았습니다. 하원장님 감사드립니다.
5,"16년도 개원부터 시작해서 1차, 2차 수술까지 세심하고 항상 환자의 마음을 먼저 헤아려 주시는 내/외과/마취과 원장 선생님 그리고 간호사 선생님까지 대학병원보다 안전하고 편안하게 수술과 회복할 수 있어서 좋았습니다. 정말 감사합니다."
5,친절하고 빠릿빠릿한 시스템으로 환자의 불안함 마음을 안정시켜주는 고마운 곳 감사합니다
5,대학병원보다 빠르고 편안하게 수술받을수 있어서 좋았습니다.
5,"수술도 빠르고,안전하게 잘 끝내주시고, 편안히 회복할 수 있어서 좋네요"
1,간호사 3명  다 의료급여의뢰서 기본 개념도  모르고 환자에게 큰소리 치더군요 의료급여제도는  공부도 안하고  테스크에 앉아서 환자들 상대하다니 어이없네요 그리고 간호사 불친절해요
5,직원분들도 너무 친절하고 무엇보다 믿음이 가서 좋네요
5,간호사분들 너무 친절하시고 하정훈 원장님도 프로페셔널하고 친절하게 진료봐주시고 수술까지 무사히 마쳤어요. 감사합니다
5,초록창 카페 땡큐이비인후과 카페 장문의 후기 남겼습니다. 다소 좀 투머치로 저의 마음을 담아 찬양했지만 관계자는 절대 아니구요. 지금 외래가는 환자입니다. 에이 그래도 종합병원이 더 낫겠지라는 편견을 버리고 일단 가보십시요. 수술은 병원이 아니라 의사가 한다는 것!!! 저는 여러가지 사유에서 만족하며 저희 가족에게도 추천합니다.
5,"땡큐이비인후과 추천합니다! 원장님도 친절하시고, 간호사선생님들까지 최고예요ㅠㅠ 수술 받았는데 회복시간도 빠르고 아주좋아요 ㅎㅎ 위치도 가까이있어서 좋습니다:)"
5,편도절제술에 관련한 거의모든 인터넷 후기를 섭렵하고 단단히 마음먹고 수술받았습니다. 수술을 잘 해주셔서 그런건지 불편한 정도이지 지구를 삼키는 고통은 느껴보지 못했네요ㅎㅎ 당일퇴원가능하지만 겁나서 하루 더 입원했었는데 간호사분들 모두 친절하셨고 병실 깔끔해서 잘 쉬다가 왔습니다~ 하정훈원장님 감사합니다
5,침샘종양 수술 했구요 친절하고 솜씨 좋으신 의사선생님 덕분에 수술 잘 마쳤습니다
5,"갑상선 낭종 시술하고 갑니다. 설명도 자세히 잘해 주시고요  의사선생님, 간호사님 친절히 잘 해주십니다. 수술할뻔 했는데 다행이 시술을 추천해 주셔서 편하게  시술 받았습니다."
5,"귀밑샘의 양성 신생물 제거 수술했어요.. 수술 전 수술 내용 설명도 잘 해야주시고 의사 선생님, 간호사 선생님 모두 친절하세요. "
5,"아버지 침샘 혹 수술 받았는데, 빠르고 안전하게 해주셨어요~   명의병원은 달라요~"
5,진료받고 경화시술 받았어요~! 목에 낭종이 생겨서 병원 여기저기 다녔는데 제일 괜찮았어요!  입원해서 2층 3층 다있었는데 저봐주신 간호사쌤들 전부 친절하고 좋았어요!!
5,왼쪽 턱 밑(악하선) 침샘 타석 제거수술하여 타석 제거했습니다.  작년에 서울 소재 대학병원에서 똑같은 수술했는데 돌을 발견 못해서 수술 실패했는데 이번엔 수술 후 경과도 훨씬 좋고 회복도 비교도 안되게 빠르네요. 무조건 대학병원만 갈 건 아니라고 생각되네요. 수술 잘 해주신 천원장님 정말 감사합니다.
5,타석증으로 대학병원 다니면서 고생하다가 치료기간이 너무 오래 걸려 땡큐로 왔는데 너무 잘한 선택인거 같아요 진작 이리 올껄 그랬어요. 천원장님  항상 친절하고 자세히 설명해주시고 수술도 환자입장에서 잘해주셔서 감사합니다 
5,하정훈 원장쌤 친절하십니다
5,솔직히 병원에서 수술 받기 전까지 반신반의 했었는데 수술 하고 나서 완전 만족하고 있습니다. 하정훈 원장님 정말 감사합니다.. 진료 받을 때부터 세세하게 다 알려주시고 수술 하고 나서도 꼼꼼히 봐주신다는 생각이 들어서 너무 좋았고 간호사분들도 모두 친절하시고 잘 봐주셔서 감사했습니다. 
5,혹시  저처럼 갑상선암이란 진단에 멘붕오시거나 두려우신분은  이곳에서 진료받으세요   실력은 최고이며  이병원 원장님의 환자에대하시는 철학은 최고입니다
5,"무엇보다도 실력이 모든 것을 말해주는 곳!!! 수술을 해야한다면 고민하지 않고, 안심하고 선택해도 되는 곳!!!"
5,"악하선종양 수술받았습니다  믿음이가는 자세한 설명과  짧은 수술시간, 회복시간 모두만족합니다 하정훈선생님과 의료진분들 모두 감사드립다 땡큐이비인후과 선택은 너무 행운인것같아요!"
5,"이하선종양제거수술 받았습니다.  수술도 1시간 안쪽이었고, 수술부위 통증도 거의 없는게 신기하네요, 대학병원에서 진료받고 수술 대기날짜가 너무 길어 고민하던 찰나에 땡큐 하원장님을 알게되어 너무 감사합니다. "
5,편도 수술로 병원 이곳 저곳 알아보았는데 여기 땡큐서울이비인후과 원장님들이 실력이 좋아서 유명한 거 같더라구요 수술도 잘 된 거 같고  시설 및 간호사 분들도 좋았습니다
5,"원장 선생님, 간호사 선생님 모두 다 친절하게 대해주셔서 편하게 있다 왔네요. 시설도 깔끔하고 좋아요."
5,편도제거 수술 받았는데 병원도 깨끗하고 친절하시고 수술 잘 됐습니다ㅎㅎ 코블레이터로 해서 그런가 생각보다 아프지 않았고 수술하기 전까지 고민 많았는데 후회없어요
5,의사쌤도 친절하고 간호사 선생님 케어도 너무 친절하고 좋아요 편도수술 받았는데 잘 절제됐어요
5,오늘 지방종제거 수술을 받았습니다 수술은 한시간 정도 자고 일어나니 끝났습니다. 마취 깨어난 후 전혀 아프지도 않고 수술또한 잘되었다고하니 너무 좋네요
5,갑상선암 수술 받았습니다~! 안전하게 그리고 덜 아프게 받은것 같아서 감사합니다 전신마취후유증이 적어서 좋아요~!
5,6시간 전에 갑상선암 수술받았습니다! 다른 곳과 비교도 하지 않고 하원장님 믿고 수술했습니다!! 결론은 너무 잘한 것 같아요~~~!!
